iso_alpha_3,year,ef_frst_sequestration_young_secondary_kt_co2_ha
FJI,2018,0.0056999999999999985
FJI,2019,0.005699999999999999
FRA,2015,0.007190424857061491
FRA,2016,0.007192180625331417
FRA,2017,0.0071984699002864486
FRA,2018,0.007199878359616171
FRA,2019,0.007199834995402167
FRO,2015,0.0012
FRO,2016,0.0012
FRO,2017,0.0012
FRO,2018,0.0012
FRO,2019,0.0012
FSM,2015,0.005699999999999999
FSM,2016,0.005699999999999999
FSM,2017,0.005699999999999999
FSM,2018,0.005699999999999999
FSM,2019,0.005699999999999999
GAB,2015,0.007597881130088498
GAB,2016,0.007597865205516119
GAB,2017,0.0075978565311134215
GAB,2018,0.00759785777476545
GAB,2019,0.0075979015776033556
GBR,2015,0.006754585504203706
GBR,2016,0.006753228193106036
GBR,2017,0.006751968890035043
GBR,2018,0.006752352632219171
GBR,2019,0.006752764088668985
GEO,2015,0.0025
GEO,2016,0.0025000000000000005
GEO,2017,0.0025
GEO,2018,0.0025
GEO,2019,0.0025
GHA,2015,0.007435532094274382
GHA,2016,0.00743560521668553
GHA,2017,0.00743560126126273
GHA,2018,0.007435883862740074
GHA,2019,0.007436278755078542
GIB,2015,0.004225
GIB,2016,0.004225
GIB,2017,0.004225
GIB,2018,0.004225
GIB,2019,0.004225
GIN,2015,0.0064394227336752605
GIN,2016,0.00643831032344476
GIN,2017,0.006436811194968104
GIN,2018,0.006435870070301654
GIN,2019,0.0064349255994632214
GMB,2015,0.002977854597363931
GMB,2016,0.002977854597363931
GMB,2017,0.002977854597363931
GMB,2018,0.002977854597363931
GMB,2019,0.002977854597363931
GNB,2015,0.006401390470035544
GNB,2016,0.006404213097539738
GNB,2017,0.006409934890272298
GNB,2018,0.0064117254328881325
GNB,2019,0.006414667567553619
GNQ,2015,0.007570599731590122
GNQ,2016,0.007570599731590122
GNQ,2017,0.007570736499691309
GNQ,2018,0.007570736499691309
GNQ,2019,0.007570736499691309
GRC,2015,0.004159213025613426
GRC,2016,0.004158484814865948
GRC,2017,0.004155106983627727
GRC,2018,0.004153691871842933
GRC,2019,0.004154199137141907
GRD,2015,0.005656692919275593
GRD,2016,0.005656692919275593
GRD,2017,0.005656692919275593
GRD,2018,0.005656692919275593
GRD,2019,0.005655476796177856
GRL,2015,0.0012743276410138258
GRL,2016,0.0012743276410138258
GRL,2017,0.0012743276410138258
GRL,2018,0.0012743276410138258
GRL,2019,0.0012743276410138258
GTM,2015,0.005610653894843894
GTM,2016,0.005610650442239054
GTM,2017,0.005610594388507183
GTM,2018,0.005610699492999864
GTM,2019,0.005610968981895192
GUM,2015,0.005699999999999999
GUM,2016,0.005699999999999999
GUM,2017,0.005699999999999999
GUM,2018,0.005699999999999999
GUM,2019,0.005699999999999999
GUY,2015,0.005362735172250731
GUY,2016,0.005360273637350766
GUY,2017,0.005361112500808124
GUY,2018,0.005361111226718651
GUY,2019,0.00536219305154896
HKG,2015,0.0024999999999999996
HKG,2016,0.0024999999999999996
HKG,2017,0.0024999999999999996
HKG,2018,0.0024999999999999996
HKG,2019,0.0024999999999999996
HND,2015,0.005685862323434663
HND,2016,0.005685916993219594
HND,2017,0.005685926629537551
HND,2018,0.0056860324970350725
HND,2019,0.005686009918469048
HRV,2015,0.004126769186337666
